MatchID,Date,Season,Venue,Team1,Team2,Winner,Margin,MarginType,PlayerOfMatch,RunsTeam1,RunsTeam2,WicketsTeam1,WicketsTeam2
MATCH0040,2010-03-30,2010,Hyderabad,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,49,wickets,Player_77,135,214,7,0
MATCH0041,2023-05-02,2023,Mumbai,Punjab Kings,Kolkata Knight Riders,Royal Challengers Bangalore,29,wickets,Player_69,151,231,6,7
MATCH0042,2020-10-02,2020,Bangalore,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,44,runs,Player_49,116,122,2,5
MATCH0043,2023-11-08,2023,Delhi,Royal Challengers Bangalore,Rajasthan Royals,Delhi Capitals,18,runs,Player_17,163,246,2,0
MATCH0044,2008-12-12,2008,Mumbai,Punjab Kings,Rajasthan Royals,Delhi Capitals,9,wickets,Player_59,125,173,4,2
MATCH0045,2010-05-18,2010,Pune,Mumbai Indians,Kolkata Knight Riders,Sunrisers Hyderabad,33,wickets,Player_8,179,199,7,6
MATCH0046,2023-05-22,2023,Hyderabad,Royal Challengers Bangalore,Delhi Capitals,Punjab Kings,42,runs,Player_77,155,226,1,0
MATCH0047,2012-05-25,2012,Mumbai,Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Kings,35,runs,Player_46,217,103,7,7
MATCH0048,2019-10-26,2019,Delhi,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,16,runs,Player_18,128,231,10,7
MATCH0049,2012-05-06,2012,Jaipur,Mumbai Indians,Mumbai Indians,Chennai Super Kings,45,runs,Player_94,149,244,10,8
MATCH0050,2011-12-17,2011,Hyderabad,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,31,wickets,Player_25,203,167,3,8
MATCH0051,2008-11-03,2008,Jaipur,Delhi Capitals,Kolkata Knight Riders,Chennai Super Kings,28,wickets,Player_34,106,122,3,0
MATCH0052,2018-08-02,2018,Kolkata,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,11,runs,Player_46,135,154,8,2
MATCH0053,2024-05-09,2024,Jaipur,Mumbai Indians,Sunrisers Hyderabad,Delhi Capitals,31,runs,Player_50,162,99,6,1
MATCH0054,2013-07-10,2013,Jaipur,Chennai Super Kings,Mumbai Indians,Royal Challengers Bangalore,49,wickets,Player_9,208,87,4,10
MATCH0055,2014-01-26,2014,Pune,Sunrisers Hyderabad,Royal Challengers Bangalore,Kolkata Knight Riders,46,wickets,Player_17,167,163,6,7
MATCH0056,2010-12-31,2010,Jaipur,Sunrisers Hyderabad,Kolkata Knight Riders,Rajasthan Royals,26,wickets,Player_19,229,152,7,2
MATCH0057,2010-03-19,2010,Chennai,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,29,runs,Player_78,171,138,8,1
MATCH0058,2016-05-01,2016,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,28,runs,Player_76,119,168,2,3
MATCH0059,2010-09-18,2010,Bangalore,Sunrisers Hyderabad,Punjab Kings,Kolkata Knight Riders,16,wickets,Player_18,128,220,6,2
MATCH0060,2017-08-17,2017,Delhi,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,32,runs,Player_13,222,165,0,1
MATCH0061,2012-06-03,2012,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Delhi Capitals,25,runs,Player_63,238,210,2,1
MATCH0062,2008-07-13,2008,Bangalore,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,44,runs,Player_96,178,210,2,8
MATCH0063,2013-08-10,2013,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,7,wickets,Player_84,87,214,7,7
MATCH0064,2016-11-25,2016,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Royal Challengers Bangalore,8,wickets,Player_22,144,200,9,10
MATCH0065,2018-02-15,2018,Pune,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,22,wickets,Player_6,236,172,1,1
MATCH0066,2021-05-24,2021,Mumbai,Mumbai Indians,Chennai Super Kings,Royal Challengers Bangalore,3,runs,Player_10,181,244,9,6
MATCH0067,2024-07-18,2024,Bangalore,Delhi Capitals,Sunrisers Hyderabad,Royal Challengers Bangalore,8,wickets,Player_62,165,188,3,9
MATCH0068,2014-04-17,2014,Jaipur,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,36,runs,Player_47,225,201,1,9
MATCH0069,2023-07-07,2023,Kolkata,Sunrisers Hyderabad,Mumbai Indians,Punjab Kings,2,wickets,Player_27,221,89,6,10
MATCH0070,2023-11-01,2023,Pune,Rajasthan Royals,Kolkata Knight Riders,Chennai Super Kings,29,wickets,Player_33,184,238,1,10
MATCH0071,2019-06-26,2019,Bangalore,Mumbai Indians,Chennai Super Kings,Rajasthan Royals,6,runs,Player_75,210,236,4,6
MATCH0072,2020-03-01,2020,Chennai,Punjab Kings,Kolkata Knight Riders,Delhi Capitals,40,wickets,Player_2,224,113,9,5
MATCH0073,2024-12-27,2024,Chennai,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,49,runs,Player_73,81,80,2,4
MATCH0074,2013-12-28,2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,49,wickets,Player_13,90,194,0,2
MATCH0075,2019-10-08,2019,Bangalore,Mumbai Indians,Delhi Capitals,Rajasthan Royals,28,wickets,Player_27,159,210,7,9
MATCH0076,2019-10-19,2019,Kolkata,Punjab Kings,Royal Challengers Bangalore,Mumbai Indians,2,wickets,Player_94,211,111,3,8
MATCH0077,2009-01-15,2009,Mumbai,Mumbai Indians,Mumbai Indians,Delhi Capitals,23,runs,Player_96,99,97,6,3
MATCH0078,2017-12-02,2017,Delhi,Rajasthan Royals,Chennai Super Kings,Kolkata Knight Riders,7,runs,Player_36,133,168,9,10
MATCH0079,2024-05-05,2024,Delhi,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,43,runs,Player_88,100,213,4,8
MATCH0080,2015-06-20,2015,Pune,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,9,runs,Player_61,146,220,9,1
MATCH0081,2012-09-10,2012,Delhi,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,24,runs,Player_23,132,160,9,0
MATCH0082,2015-01-09,2015,Mumbai,Punjab Kings,Royal Challengers Bangalore,Rajasthan Royals,38,wickets,Player_8,207,89,6,5
MATCH0083,2010-06-10,2010,Bangalore,Punjab Kings,Punjab Kings,Mumbai Indians,35,wickets,Player_9,132,144,8,1
MATCH0084,2020-04-23,2020,Jaipur,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,45,runs,Player_17,234,179,0,1
MATCH0085,2025-06-21,2025,Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,22,runs,Player_49,136,203,3,5
MATCH0086,2018-04-21,2018,Hyderabad,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,19,wickets,Player_92,191,179,4,7
MATCH0087,2025-01-10,2025,Chennai,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,1,wickets,Player_46,98,211,1,1
MATCH0088,2014-04-20,2014,Mumbai,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,31,wickets,Player_7,197,163,10,8
MATCH0089,2021-08-07,2021,Jaipur,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,10,runs,Player_47,147,172,2,8
MATCH0090,2012-07-01,2012,Hyderabad,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,19,wickets,Player_96,247,142,9,6
MATCH0091,2024-06-05,2024,Pune,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,15,wickets,Player_62,84,233,2,7
MATCH0092,2022-12-31,2022,Mumbai,Punjab Kings,Chennai Super Kings,Punjab Kings,18,runs,Player_65,168,236,1,1
MATCH0093,2024-07-04,2024,Bangalore,Punjab Kings,Rajasthan Royals,Kolkata Knight Riders,17,runs,Player_67,227,204,8,4
MATCH0094,2018-04-08,2018,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,33,wickets,Player_19,211,178,10,7
MATCH0095,2020-04-03,2020,Pune,Chennai Super Kings,Mumbai Indians,Sunrisers Hyderabad,5,runs,Player_100,226,104,9,10
MATCH0096,2020-09-09,2020,Chennai,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,47,wickets,Player_1,135,182,5,1
MATCH0097,2025-05-25,2025,Chennai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,26,wickets,Player_31,233,84,5,7
MATCH0098,2011-03-06,2011,Hyderabad,Punjab Kings,Punjab Kings,Rajasthan Royals,19,runs,Player_12,203,228,10,5
MATCH0099,2019-01-16,2019,Mumbai,Chennai Super Kings,Rajasthan Royals,Punjab Kings,22,runs,Player_10,128,221,3,9
MATCH0100,2009-09-06,2009,Pune,Mumbai Indians,Chennai Super Kings,Delhi Capitals,35,runs,Player_34,182,247,6,0
MATCH0101,2025-05-26,2025,Pune,Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai Super Kings,41,wickets,Player_4,224,225,2,7
MATCH0102,2010-06-08,2010,Mumbai,Sunrisers Hyderabad,Rajasthan Royals,Kolkata Knight Riders,45,runs,Player_79,104,106,7,1
MATCH0103,2019-01-26,2019,Hyderabad,Punjab Kings,Mumbai Indians,Rajasthan Royals,38,runs,Player_70,165,115,1,1
MATCH0104,2008-11-06,2008,Chennai,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,48,runs,Player_86,82,103,4,4
MATCH0105,2016-10-25,2016,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,20,wickets,Player_88,147,126,6,0
MATCH0106,2016-09-23,2016,Delhi,Rajasthan Royals,Punjab Kings,Rajasthan Royals,5,runs,Player_89,124,107,7,6
MATCH0107,2023-01-22,2023,Mumbai,Delhi Capitals,Delhi Capitals,Rajasthan Royals,11,runs,Player_21,193,194,7,10
MATCH0108,2021-07-04,2021,Bangalore,Punjab Kings,Rajasthan Royals,Kolkata Knight Riders,45,runs,Player_13,234,140,3,1
MATCH0109,2019-05-06,2019,Hyderabad,Mumbai Indians,Chennai Super Kings,Rajasthan Royals,42,wickets,Player_86,248,138,7,7
MATCH0110,2011-09-03,2011,Delhi,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,7,wickets,Player_8,244,198,1,8
MATCH0111,2023-03-18,2023,Pune,Mumbai Indians,Punjab Kings,Delhi Capitals,25,runs,Player_80,203,187,7,7
MATCH0112,2009-07-17,2009,Delhi,Punjab Kings,Rajasthan Royals,Kolkata Knight Riders,35,wickets,Player_48,96,94,5,8
MATCH0113,2024-09-25,2024,Mumbai,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,32,wickets,Player_84,96,144,7,4
MATCH0114,2019-07-06,2019,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Punjab Kings,28,runs,Player_93,188,158,7,3
MATCH0115,2020-02-17,2020,Pune,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,13,runs,Player_33,138,104,7,1
MATCH0116,2017-09-26,2017,Pune,Rajasthan Royals,Delhi Capitals,Mumbai Indians,25,wickets,Player_4,225,122,7,4
MATCH0117,2008-04-30,2008,Mumbai,Chennai Super Kings,Mumbai Indians,Kolkata Knight Riders,36,wickets,Player_85,198,230,1,7
MATCH0118,2022-04-04,2022,Pune,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,41,wickets,Player_82,195,126,7,8
MATCH0119,2021-03-22,2021,Kolkata,Sunrisers Hyderabad,Delhi Capitals,Punjab Kings,22,runs,Player_29,144,236,9,9
MATCH0120,2013-12-01,2013,Chennai,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,44,wickets,Player_98,86,143,4,0
MATCH0121,2021-09-22,2021,Bangalore,Delhi Capitals,Rajasthan Royals,Mumbai Indians,7,runs,Player_87,241,228,2,0
MATCH0122,2021-07-23,2021,Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,28,runs,Player_100,142,240,5,2
MATCH0123,2019-03-18,2019,Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,40,runs,Player_36,204,110,7,0
MATCH0124,2023-01-23,2023,Jaipur,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,17,wickets,Player_94,224,119,0,0
MATCH0125,2024-03-07,2024,Bangalore,Mumbai Indians,Delhi Capitals,Punjab Kings,44,wickets,Player_58,201,193,5,6
MATCH0126,2017-08-05,2017,Mumbai,Delhi Capitals,Royal Challengers Bangalore,Rajasthan Royals,8,wickets,Player_39,110,177,10,8
MATCH0127,2022-11-06,2022,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Punjab Kings,50,wickets,Player_75,196,189,5,0
MATCH0128,2024-11-27,2024,Hyderabad,Delhi Capitals,Royal Challengers Bangalore,Kolkata Knight Riders,48,wickets,Player_64,154,195,5,9
MATCH0129,2009-05-11,2009,Pune,Kolkata Knight Riders,Delhi Capitals,Rajasthan Royals,35,wickets,Player_12,170,128,0,5
MATCH0130,2017-08-29,2017,Delhi,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,42,wickets,Player_83,88,182,9,6
MATCH0131,2024-11-13,2024,Kolkata,Delhi Capitals,Sunrisers Hyderabad,Rajasthan Royals,7,runs,Player_59,134,184,4,0
MATCH0132,2008-09-22,2008,Mumbai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,12,wickets,Player_62,163,183,5,10
MATCH0133,2015-06-02,2015,Delhi,Kolkata Knight Riders,Chennai Super Kings,Delhi Capitals,8,runs,Player_85,87,83,2,1
MATCH0134,2012-07-05,2012,Jaipur,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,23,wickets,Player_34,119,156,2,0
MATCH0135,2016-11-01,2016,Kolkata,Rajasthan Royals,Delhi Capitals,Chennai Super Kings,23,wickets,Player_1,177,120,10,2
MATCH0136,2020-04-24,2020,Chennai,Kolkata Knight Riders,Royal Challengers Bangalore,Sunrisers Hyderabad,18,runs,Player_78,86,168,3,10
MATCH0137,2023-03-13,2023,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Chennai Super Kings,1,runs,Player_60,144,208,8,7
MATCH0138,2015-02-28,2015,Jaipur,Kolkata Knight Riders,Punjab Kings,Sunrisers Hyderabad,33,runs,Player_51,168,243,4,5
MATCH0139,2023-04-10,2023,Pune,Punjab Kings,Kolkata Knight Riders,Chennai Super Kings,35,runs,Player_57,103,230,5,10
MATCH0140,2021-11-26,2021,Chennai,Delhi Capitals,Sunrisers Hyderabad,Rajasthan Royals,38,runs,Player_56,119,199,2,5
MATCH0141,2010-04-17,2010,Pune,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,42,runs,Player_7,215,205,6,2
MATCH0142,2021-09-11,2021,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,17,runs,Player_83,233,164,10,10
MATCH0143,2018-09-11,2018,Hyderabad,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,30,runs,Player_9,250,198,1,5
MATCH0144,2024-04-08,2024,Jaipur,Delhi Capitals,Punjab Kings,Chennai Super Kings,20,wickets,Player_69,239,106,0,10
MATCH0145,2017-09-14,2017,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Chennai Super Kings,16,runs,Player_14,217,234,8,2
MATCH0146,2014-08-11,2014,Bangalore,Punjab Kings,Royal Challengers Bangalore,Delhi Capitals,22,runs,Player_100,136,113,8,4
MATCH0147,2009-05-08,2009,Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,23,runs,Player_68,202,183,9,1
MATCH0148,2019-09-22,2019,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Delhi Capitals,47,runs,Player_50,117,126,7,0
MATCH0149,2011-11-13,2011,Jaipur,Punjab Kings,Sunrisers Hyderabad,Kolkata Knight Riders,3,runs,Player_57,239,114,4,0
MATCH0150,2012-04-11,2012,Kolkata,Royal Challengers Bangalore,Punjab Kings,Delhi Capitals,28,runs,Player_33,176,219,0,3
MATCH0151,2020-05-31,2020,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,39,runs,Player_30,83,126,8,7
MATCH0152,2023-12-29,2023,Chennai,Kolkata Knight Riders,Royal Challengers Bangalore,Chennai Super Kings,37,wickets,Player_88,161,179,6,5
MATCH0153,2009-01-15,2009,Pune,Mumbai Indians,Mumbai Indians,Delhi Capitals,37,wickets,Player_93,152,119,2,5
MATCH0154,2019-04-08,2019,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Delhi Capitals,27,wickets,Player_89,81,194,6,9
MATCH0155,2013-07-31,2013,Bangalore,Punjab Kings,Delhi Capitals,Sunrisers Hyderabad,6,runs,Player_92,226,232,8,9
MATCH0156,2011-12-28,2011,Bangalore,Kolkata Knight Riders,Rajasthan Royals,Delhi Capitals,45,wickets,Player_2,166,94,5,4
MATCH0157,2020-06-29,2020,Jaipur,Chennai Super Kings,Delhi Capitals,Delhi Capitals,48,wickets,Player_96,191,177,8,0
MATCH0158,2017-03-13,2017,Mumbai,Mumbai Indians,Kolkata Knight Riders,Chennai Super Kings,15,wickets,Player_37,152,227,5,3
MATCH0159,2017-10-19,2017,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,33,runs,Player_99,106,219,0,5
MATCH0160,2013-07-27,2013,Pune,Rajasthan Royals,Delhi Capitals,Sunrisers Hyderabad,46,wickets,Player_87,193,105,2,5
MATCH0161,2012-03-29,2012,Chennai,Punjab Kings,Rajasthan Royals,Chennai Super Kings,26,runs,Player_50,207,175,7,10
MATCH0162,2009-04-01,2009,Pune,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,15,runs,Player_65,140,137,5,5
MATCH0163,2010-06-23,2010,Mumbai,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,3,runs,Player_87,217,208,2,8
MATCH0164,2013-06-21,2013,Chennai,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,5,runs,Player_37,96,215,6,0
MATCH0165,2008-08-05,2008,Kolkata,Punjab Kings,Mumbai Indians,Punjab Kings,5,wickets,Player_93,115,91,1,0
MATCH0166,2016-12-27,2016,Kolkata,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,42,wickets,Player_52,213,237,3,7
MATCH0167,2011-11-07,2011,Delhi,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,43,runs,Player_94,108,142,7,3
MATCH0168,2022-05-18,2022,Bangalore,Sunrisers Hyderabad,Rajasthan Royals,Kolkata Knight Riders,8,runs,Player_17,139,114,3,9
MATCH0169,2022-08-24,2022,Jaipur,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,43,wickets,Player_6,149,86,8,0
MATCH0170,2013-04-22,2013,Kolkata,Mumbai Indians,Mumbai Indians,Rajasthan Royals,18,wickets,Player_30,141,98,4,8
MATCH0171,2021-05-25,2021,Kolkata,Rajasthan Royals,Delhi Capitals,Chennai Super Kings,45,runs,Player_48,220,158,3,2
MATCH0172,2017-09-28,2017,Delhi,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,49,wickets,Player_47,91,199,2,4
MATCH0173,2019-10-04,2019,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5,wickets,Player_39,206,211,4,2
MATCH0174,2021-10-25,2021,Hyderabad,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,5,runs,Player_23,186,137,9,1
MATCH0175,2025-01-21,2025,Kolkata,Delhi Capitals,Mumbai Indians,Sunrisers Hyderabad,37,wickets,Player_52,189,239,2,2
MATCH0176,2009-11-06,2009,Jaipur,Sunrisers Hyderabad,Punjab Kings,Royal Challengers Bangalore,4,wickets,Player_87,100,192,3,2
MATCH0177,2016-02-28,2016,Mumbai,Sunrisers Hyderabad,Punjab Kings,Mumbai Indians,5,runs,Player_73,186,115,9,2
MATCH0178,2023-02-16,2023,Chennai,Sunrisers Hyderabad,Kolkata Knight Riders,Rajasthan Royals,40,wickets,Player_9,111,122,8,9
MATCH0179,2012-07-04,2012,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Rajasthan Royals,31,runs,Player_94,214,153,8,5
MATCH0180,2014-07-03,2014,Delhi,Kolkata Knight Riders,Chennai Super Kings,Punjab Kings,18,runs,Player_100,203,84,2,9
MATCH0181,2020-05-16,2020,Hyderabad,Kolkata Knight Riders,Chennai Super Kings,Royal Challengers Bangalore,41,wickets,Player_94,237,149,1,5
MATCH0182,2013-06-18,2013,Kolkata,Rajasthan Royals,Mumbai Indians,Sunrisers Hyderabad,7,wickets,Player_58,172,215,6,4
MATCH0183,2023-05-11,2023,Pune,Royal Challengers Bangalore,Delhi Capitals,Chennai Super Kings,33,wickets,Player_22,158,145,5,10
MATCH0184,2015-10-14,2015,Delhi,Kolkata Knight Riders,Chennai Super Kings,Delhi Capitals,37,wickets,Player_84,131,236,7,3
MATCH0185,2022-09-22,2022,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Punjab Kings,21,wickets,Player_9,102,192,10,7
MATCH0186,2012-06-28,2012,Bangalore,Rajasthan Royals,Punjab Kings,Kolkata Knight Riders,23,runs,Player_52,128,159,2,5
MATCH0187,2012-06-14,2012,Pune,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,27,wickets,Player_29,132,104,9,1
MATCH0188,2019-09-12,2019,Kolkata,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,6,wickets,Player_78,190,109,7,5
MATCH0189,2024-05-31,2024,Chennai,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,1,wickets,Player_41,113,225,0,3
