EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,EducationLevel,Attrition,MonthlyIncome,PerformanceRating,OverTime
EMP0080,57,Female,Human Resources,Research Scientist,8,3,Yes,144712,2,Yes
EMP0081,36,Male,Sales,Research Scientist,6,3,No,86621,4,Yes
EMP0082,42,Female,Research & Development,Research Scientist,10,1,No,85344,1,No
EMP0083,25,Male,Human Resources,Sales Representative,1,4,Yes,83716,1,Yes
EMP0084,36,Male,Sales,HR Manager,4,3,No,32744,1,No
EMP0085,24,Female,Research & Development,Sales Representative,6,1,No,126665,4,Yes
EMP0086,42,Male,Human Resources,HR Manager,10,4,Yes,120202,3,Yes
EMP0087,47,Female,Sales,Research Scientist,1,4,Yes,127665,4,Yes
EMP0088,39,Male,Sales,Sales Executive,7,5,No,52032,4,Yes
EMP0089,26,Female,Human Resources,Research Scientist,15,1,Yes,122567,5,No
EMP0090,35,Female,Human Resources,Research Scientist,2,5,Yes,30279,1,No
EMP0091,58,Male,Sales,Research Scientist,1,4,No,38177,4,No
EMP0092,42,Female,Sales,Laboratory Technician,11,4,No,30705,1,No
EMP0093,35,Male,Sales,Laboratory Technician,2,2,Yes,75591,4,No
EMP0094,53,Male,Human Resources,HR Manager,13,5,Yes,55782,2,Yes
EMP0095,47,Female,Sales,Sales Executive,2,1,Yes,128041,1,Yes
EMP0096,51,Female,Research & Development,Laboratory Technician,15,2,No,51141,3,No
EMP0097,31,Male,Sales,HR Manager,4,4,No,100679,2,Yes
EMP0098,38,Female,Research & Development,Sales Representative,8,2,No,74126,5,No
EMP0099,30,Male,Human Resources,Laboratory Technician,1,1,Yes,55348,5,No
EMP0100,37,Male,Sales,Sales Representative,3,3,No,101299,3,No
EMP0101,57,Male,Human Resources,Sales Representative,1,2,No,81908,1,No
EMP0102,56,Male,Sales,Sales Representative,15,2,No,54713,3,No
EMP0103,38,Female,Sales,Laboratory Technician,7,1,No,144421,3,Yes
EMP0104,59,Male,Sales,Sales Representative,11,5,Yes,42630,5,Yes
EMP0105,49,Male,Research & Development,HR Manager,13,1,No,30504,4,No
EMP0106,59,Male,Human Resources,HR Manager,15,1,No,72174,5,No
EMP0107,47,Female,Human Resources,HR Manager,9,2,No,112812,5,No
EMP0108,45,Male,Sales,Laboratory Technician,7,4,No,36083,2,Yes
EMP0109,36,Male,Sales,Laboratory Technician,0,1,Yes,72813,1,No
EMP0110,30,Female,Sales,Research Scientist,1,1,Yes,136117,3,Yes
EMP0111,54,Male,Research & Development,Sales Executive,0,2,Yes,53522,2,Yes
EMP0112,53,Female,Research & Development,Research Scientist,6,2,No,65409,1,No
EMP0113,27,Male,Human Resources,Sales Representative,12,2,Yes,62017,4,Yes
EMP0114,25,Female,Human Resources,Laboratory Technician,0,2,Yes,146168,5,No
EMP0115,29,Male,Research & Development,Laboratory Technician,15,5,Yes,99397,1,No
EMP0116,31,Male,Research & Development,Sales Representative,1,3,No,147852,2,No
EMP0117,32,Female,Sales,Laboratory Technician,12,3,No,60794,5,Yes
EMP0118,49,Male,Human Resources,Laboratory Technician,12,4,Yes,102067,2,No
EMP0119,60,Male,Human Resources,HR Manager,4,4,Yes,123032,2,No
EMP0120,26,Male,Human Resources,Sales Executive,13,1,Yes,30250,1,Yes
EMP0121,46,Female,Sales,Research Scientist,13,5,No,76567,2,No
EMP0122,46,Female,Research & Development,Sales Representative,4,3,Yes,102502,4,Yes
EMP0123,60,Female,Sales,HR Manager,3,4,No,120323,5,No
EMP0124,51,Male,Sales,Sales Representative,14,1,Yes,51212,5,No
EMP0125,55,Female,Human Resources,Research Scientist,3,4,Yes,84778,1,Yes
EMP0126,38,Male,Sales,Sales Executive,11,5,No,140421,1,No
EMP0127,57,Male,Research & Development,Laboratory Technician,11,1,Yes,136209,3,Yes
EMP0128,22,Male,Sales,Research Scientist,6,1,No,110733,2,No
EMP0129,29,Male,Sales,Research Scientist,10,2,No,52402,4,No
EMP0130,56,Male,Research & Development,Sales Representative,13,5,Yes,116505,3,No
EMP0131,39,Female,Sales,Laboratory Technician,1,1,No,132020,4,No
EMP0132,43,Female,Research & Development,Laboratory Technician,7,2,No,103997,1,Yes
EMP0133,29,Male,Sales,Laboratory Technician,7,2,No,130572,1,No
EMP0134,40,Male,Human Resources,HR Manager,2,5,Yes,110145,4,No
EMP0135,49,Female,Research & Development,Research Scientist,0,4,No,38185,5,No
EMP0136,32,Female,Human Resources,Research Scientist,7,1,No,37817,1,Yes
EMP0137,51,Male,Sales,HR Manager,13,3,Yes,89126,1,No
EMP0138,22,Male,Research & Development,Sales Executive,1,1,Yes,82180,4,Yes
EMP0139,38,Male,Sales,HR Manager,0,5,Yes,99990,4,Yes
EMP0140,54,Male,Human Resources,Sales Executive,7,3,Yes,121423,1,No
EMP0141,33,Male,Sales,Sales Representative,1,5,No,86648,2,No
EMP0142,54,Female,Sales,Sales Representative,2,2,Yes,51497,1,No
EMP0143,28,Female,Sales,Research Scientist,1,4,No,137824,4,Yes
EMP0144,41,Female,Human Resources,HR Manager,4,2,No,89950,2,No
EMP0145,54,Female,Human Resources,HR Manager,14,2,Yes,129127,4,No
EMP0146,60,Male,Research & Development,HR Manager,5,5,Yes,87166,1,No
EMP0147,34,Male,Sales,HR Manager,9,1,No,61990,3,Yes
EMP0148,31,Female,Sales,Laboratory Technician,1,5,No,142432,1,Yes
EMP0149,45,Male,Research & Development,Laboratory Technician,10,3,No,59771,1,No
EMP0150,32,Male,Sales,Sales Representative,11,3,Yes,53240,3,No
EMP0151,56,Female,Sales,Laboratory Technician,7,5,Yes,140603,5,Yes
EMP0152,55,Male,Sales,Sales Executive,9,3,No,102851,2,No
EMP0153,22,Female,Sales,HR Manager,4,5,Yes,146593,2,No
EMP0154,60,Male,Sales,Laboratory Technician,12,4,Yes,57106,2,No
EMP0155,42,Male,Human Resources,Sales Representative,15,2,No,145607,4,No
EMP0156,53,Female,Human Resources,Laboratory Technician,3,2,Yes,144305,4,No
EMP0157,23,Female,Human Resources,Sales Executive,2,5,Yes,95745,2,No
EMP0158,29,Male,Research & Development,Research Scientist,2,3,No,109877,3,Yes
EMP0159,45,Male,Research & Development,HR Manager,8,3,Yes,147041,3,No
EMP0160,41,Female,Human Resources,Laboratory Technician,6,2,No,80510,4,Yes
EMP0161,37,Female,Research & Development,Research Scientist,15,3,No,118234,5,No
EMP0162,25,Male,Human Resources,Sales Executive,11,3,Yes,133494,2,Yes
EMP0163,37,Male,Sales,Sales Representative,7,4,No,145705,1,No
EMP0164,58,Female,Sales,Sales Executive,14,1,Yes,56718,4,Yes
EMP0165,27,Male,Sales,HR Manager,9,3,Yes,58113,2,Yes
EMP0166,27,Male,Human Resources,Sales Representative,11,4,No,136765,5,No
EMP0167,53,Female,Research & Development,Sales Executive,9,1,Yes,93393,3,Yes
EMP0168,26,Female,Human Resources,HR Manager,7,4,No,83413,4,No
EMP0169,56,Male,Research & Development,Laboratory Technician,8,5,No,147981,4,No
EMP0170,30,Female,Research & Development,Sales Executive,10,5,Yes,127908,2,Yes
EMP0171,30,Female,Sales,Sales Representative,3,4,Yes,40918,5,No
EMP0172,52,Female,Sales,Sales Representative,1,2,No,96277,1,Yes
EMP0173,57,Male,Human Resources,Sales Executive,11,2,No,74069,5,No
EMP0174,32,Female,Human Resources,Laboratory Technician,13,1,Yes,113230,2,No
EMP0175,38,Male,Sales,Research Scientist,15,1,Yes,44948,5,Yes
EMP0176,55,Male,Human Resources,Sales Representative,8,4,No,145772,1,Yes
EMP0177,60,Male,Sales,Sales Representative,2,1,No,112720,4,No
EMP0178,49,Male,Human Resources,Research Scientist,6,2,No,101084,3,No
EMP0179,35,Female,Research & Development,HR Manager,4,2,Yes,149675,3,Yes
EMP0180,56,Male,Human Resources,Sales Executive,7,5,No,136342,1,Yes
EMP0181,34,Male,Sales,Laboratory Technician,9,3,No,128309,2,No
EMP0182,41,Male,Human Resources,Sales Executive,6,2,No,138416,3,No
EMP0183,47,Female,Research & Development,Research Scientist,3,5,No,130658,5,Yes
EMP0184,45,Female,Research & Development,HR Manager,11,3,No,82755,5,No
EMP0185,50,Female,Research & Development,Sales Executive,4,3,No,53204,5,No
EMP0186,55,Female,Sales,Sales Representative,1,4,Yes,82120,3,No
EMP0187,50,Female,Human Resources,Research Scientist,7,1,Yes,89621,1,No
EMP0188,29,Male,Sales,Laboratory Technician,14,2,No,43730,5,Yes
EMP0189,37,Male,Sales,Laboratory Technician,14,5,No,62483,2,Yes
EMP0190,36,Female,Sales,Sales Representative,3,3,No,86892,5,No
EMP0191,26,Male,Human Resources,Sales Executive,0,2,No,102371,2,Yes
EMP0192,43,Female,Sales,Sales Representative,15,5,No,69938,2,No
EMP0193,23,Male,Human Resources,HR Manager,1,1,No,131839,4,Yes
EMP0194,59,Male,Research & Development,Laboratory Technician,8,3,No,44242,2,No
EMP0195,57,Male,Human Resources,Laboratory Technician,8,1,No,30107,4,No
EMP0196,36,Female,Human Resources,Sales Executive,12,2,No,39749,2,Yes
EMP0197,59,Female,Sales,Laboratory Technician,9,2,Yes,54886,5,Yes
EMP0198,36,Male,Research & Development,Sales Representative,2,3,Yes,50323,1,No
EMP0199,22,Female,Human Resources,Sales Representative,1,2,No,117008,2,Yes
EMP0200,26,Female,Human Resources,Sales Representative,8,4,Yes,96301,5,No
EMP0201,25,Male,Sales,Research Scientist,12,4,Yes,133691,1,Yes
EMP0202,36,Male,Research & Development,Laboratory Technician,15,3,No,50558,4,Yes
EMP0203,26,Male,Sales,Laboratory Technician,0,4,No,56361,2,Yes
EMP0204,24,Male,Sales,Sales Representative,12,4,Yes,147973,3,No
EMP0205,43,Female,Sales,HR Manager,12,5,Yes,59571,1,Yes
EMP0206,26,Male,Sales,HR Manager,14,2,Yes,123965,3,No
EMP0207,54,Female,Human Resources,Research Scientist,1,4,Yes,109793,5,Yes
EMP0208,37,Male,Research & Development,HR Manager,7,4,Yes,49969,4,Yes
EMP0209,39,Female,Research & Development,Sales Representative,6,5,Yes,42995,1,Yes
EMP0210,53,Male,Sales,HR Manager,12,5,No,118214,2,Yes
EMP0211,35,Male,Sales,Laboratory Technician,5,3,No,100852,4,No
EMP0212,56,Male,Human Resources,Research Scientist,13,2,Yes,141299,4,Yes
EMP0213,30,Male,Sales,Sales Representative,1,1,Yes,96597,4,No
EMP0214,58,Male,Sales,Sales Executive,9,5,Yes,125825,4,Yes
EMP0215,58,Male,Human Resources,Sales Representative,1,1,Yes,59334,3,No
EMP0216,52,Female,Research & Development,Laboratory Technician,11,1,Yes,75787,2,Yes
EMP0217,37,Female,Research & Development,Sales Executive,0,1,Yes,147664,4,No
EMP0218,52,Female,Sales,Laboratory Technician,10,5,No,54488,2,Yes
EMP0219,48,Male,Research & Development,HR Manager,8,1,No,90435,5,Yes
EMP0220,34,Female,Research & Development,Sales Representative,6,1,Yes,126622,3,Yes
EMP0221,28,Male,Research & Development,HR Manager,0,3,Yes,108654,3,No
EMP0222,28,Female,Human Resources,Research Scientist,10,1,Yes,125462,2,No
EMP0223,49,Male,Research & Development,HR Manager,13,3,No,142215,5,No
EMP0224,44,Male,Sales,Laboratory Technician,13,4,No,38296,4,Yes
EMP0225,49,Female,Sales,Laboratory Technician,1,4,No,99252,3,Yes
EMP0226,48,Female,Human Resources,Laboratory Technician,3,5,Yes,92504,5,No
EMP0227,51,Female,Sales,HR Manager,12,2,Yes,72646,5,No
EMP0228,25,Male,Human Resources,Sales Executive,9,1,No,122831,3,Yes
EMP0229,28,Female,Sales,Sales Executive,14,1,Yes,130172,1,Yes
EMP0230,25,Male,Sales,Research Scientist,13,3,Yes,126506,4,Yes
EMP0231,47,Female,Sales,Laboratory Technician,8,2,No,121791,1,Yes
EMP0232,43,Female,Research & Development,Research Scientist,5,2,No,32593,5,No
EMP0233,28,Female,Human Resources,Research Scientist,12,4,No,83223,5,No
EMP0234,37,Male,Sales,Laboratory Technician,14,3,No,147395,4,Yes
EMP0235,34,Female,Sales,HR Manager,7,1,No,93213,3,No
EMP0236,34,Male,Sales,Sales Representative,4,3,No,94619,1,No
EMP0237,56,Female,Human Resources,Laboratory Technician,0,4,Yes,80546,4,No
EMP0238,50,Male,Research & Development,Sales Representative,8,1,No,42448,4,Yes
EMP0239,30,Female,Human Resources,Sales Representative,8,3,Yes,115281,3,No
EMP0240,49,Male,Human Resources,HR Manager,2,1,No,35694,4,No
EMP0241,33,Male,Research & Development,Laboratory Technician,7,1,No,85376,1,Yes
EMP0242,39,Male,Research & Development,Laboratory Technician,9,3,No,129027,2,Yes
EMP0243,51,Male,Sales,Laboratory Technician,10,2,No,112463,1,No
EMP0244,37,Male,Human Resources,Sales Representative,12,3,No,124811,5,No
EMP0245,26,Male,Human Resources,HR Manager,1,4,Yes,78527,1,No
EMP0246,50,Male,Research & Development,Sales Executive,8,2,Yes,138202,1,No
EMP0247,57,Male,Sales,Laboratory Technician,11,1,Yes,106284,5,Yes
EMP0248,28,Female,Sales,Sales Executive,8,1,No,51895,2,Yes
EMP0249,25,Female,Research & Development,Sales Representative,8,4,Yes,30822,5,Yes
EMP0250,56,Female,Sales,Sales Representative,0,2,No,113205,1,No
EMP0251,22,Male,Sales,Research Scientist,3,1,No,147814,2,Yes
EMP0252,27,Male,Sales,HR Manager,9,1,Yes,100546,2,No
EMP0253,37,Male,Human Resources,Research Scientist,10,1,Yes,98504,1,Yes
EMP0254,32,Female,Research & Development,Sales Executive,8,2,Yes,43166,3,Yes
EMP0255,48,Male,Sales,Sales Representative,5,4,Yes,142237,3,No
EMP0256,53,Female,Research & Development,Laboratory Technician,14,5,Yes,115745,2,No
EMP0257,52,Male,Sales,Laboratory Technician,14,5,Yes,136590,5,Yes
EMP0258,35,Female,Sales,HR Manager,0,3,Yes,64917,1,Yes
EMP0259,47,Female,Research & Development,Sales Executive,14,3,Yes,62422,3,Yes
EMP0260,25,Female,Human Resources,Research Scientist,0,1,Yes,130967,3,No
EMP0261,32,Male,Research & Development,Sales Executive,14,5,Yes,39838,5,No
EMP0262,46,Female,Sales,Sales Executive,1,4,Yes,111417,5,No
EMP0263,22,Male,Research & Development,HR Manager,11,1,Yes,46703,1,No
EMP0264,46,Male,Sales,Research Scientist,15,2,No,91222,5,Yes
EMP0265,38,Male,Sales,Laboratory Technician,6,2,Yes,109521,2,No
EMP0266,51,Male,Human Resources,Laboratory Technician,13,1,Yes,88273,2,No
EMP0267,40,Male,Research & Development,Sales Representative,1,4,No,83706,2,Yes
EMP0268,49,Female,Sales,Research Scientist,2,4,Yes,45306,3,No
EMP0269,57,Male,Research & Development,Sales Representative,8,1,Yes,90377,2,Yes
EMP0270,53,Female,Research & Development,HR Manager,10,1,Yes,95951,2,Yes
EMP0271,31,Female,Sales,Sales Executive,2,4,No,121067,2,No
EMP0272,34,Female,Research & Development,Laboratory Technician,14,4,No,44505,2,Yes
EMP0273,40,Female,Human Resources,Sales Executive,5,4,No,76182,1,Yes
EMP0274,35,Male,Sales,Sales Executive,8,4,Yes,107780,2,Yes
EMP0275,25,Female,Human Resources,Laboratory Technician,8,2,Yes,84919,2,Yes
EMP0276,59,Male,Research & Development,Laboratory Technician,8,1,No,105963,3,No
EMP0277,56,Female,Research & Development,Research Scientist,15,5,No,141834,1,Yes
EMP0278,25,Male,Sales,Laboratory Technician,4,1,Yes,99892,1,Yes
EMP0279,42,Female,Research & Development,Sales Representative,7,1,Yes,114312,2,No
EMP0280,25,Female,Sales,Laboratory Technician,5,3,No,62368,3,Yes
EMP0281,25,Male,Sales,Sales Executive,4,3,No,100912,3,Yes
EMP0282,59,Female,Human Resources,Sales Executive,1,4,Yes,120803,3,No
EMP0283,52,Female,Human Resources,Research Scientist,7,2,No,69178,1,Yes
EMP0284,54,Female,Sales,Sales Executive,3,3,Yes,75867,1,No
EMP0285,55,Male,Research & Development,Sales Representative,1,1,Yes,116604,5,Yes
EMP0286,32,Male,Sales,Research Scientist,5,3,No,95205,2,Yes
EMP0287,25,Male,Sales,Laboratory Technician,14,2,No,53356,3,Yes
EMP0288,54,Male,Research & Development,Laboratory Technician,10,2,No,126262,3,Yes
EMP0289,27,Female,Research & Development,Laboratory Technician,1,4,No,118546,3,Yes
EMP0290,33,Male,Research & Development,Sales Executive,7,1,No,32180,1,No
EMP0291,26,Male,Sales,Sales Executive,1,1,No,123872,2,No
EMP0292,60,Female,Research & Development,HR Manager,8,5,No,137729,4,Yes
EMP0293,26,Male,Sales,Sales Representative,8,4,No,125929,5,No
EMP0294,37,Female,Research & Development,Laboratory Technician,0,5,Yes,49749,5,No
EMP0295,47,Male,Human Resources,Sales Representative,11,4,No,121946,5,No
EMP0296,29,Female,Sales,Laboratory Technician,1,2,Yes,81221,5,Yes
EMP0297,58,Female,Human Resources,Research Scientist,7,1,Yes,79397,3,No
EMP0298,37,Male,Human Resources,Sales Representative,11,3,No,78318,2,Yes
EMP0299,59,Male,Sales,Sales Representative,3,3,Yes,121217,5,No
EMP0300,60,Male,Human Resources,Sales Executive,2,1,Yes,137737,2,Yes
EMP0301,24,Female,Human Resources,HR Manager,14,5,No,82330,2,No
EMP0302,27,Female,Sales,Sales Executive,3,3,No,99974,2,Yes
EMP0303,48,Male,Sales,Sales Representative,2,4,Yes,80393,2,Yes
EMP0304,59,Male,Research & Development,Research Scientist,7,4,Yes,130102,3,Yes
EMP0305,58,Female,Human Resources,Sales Executive,6,5,No,52389,2,No
EMP0306,55,Male,Research & Development,HR Manager,10,2,Yes,110168,4,No
EMP0307,42,Male,Sales,Laboratory Technician,11,3,Yes,144016,2,Yes
EMP0308,38,Male,Human Resources,Sales Representative,13,3,No,76386,5,Yes
EMP0309,35,Female,Research & Development,Sales Executive,2,5,Yes,105333,4,Yes
EMP0310,42,Female,Research & Development,Sales Executive,13,5,No,138715,2,No
EMP0311,37,Female,Research & Development,Research Scientist,9,2,Yes,42347,1,Yes
EMP0312,38,Male,Sales,Sales Representative,4,3,Yes,48135,5,Yes
EMP0313,47,Male,Human Resources,Laboratory Technician,0,3,No,72424,1,No
EMP0314,30,Male,Research & Development,Research Scientist,10,4,Yes,88748,3,Yes
EMP0315,41,Female,Human Resources,Sales Representative,11,2,Yes,56757,5,No
EMP0316,51,Male,Sales,Sales Representative,10,5,No,70376,5,Yes
EMP0317,42,Male,Sales,Sales Executive,13,4,Yes,110837,2,Yes
EMP0318,26,Female,Research & Development,HR Manager,11,3,Yes,96483,1,Yes
EMP0319,22,Male,Research & Development,Sales Representative,15,4,Yes,107748,2,No
EMP0320,51,Male,Human Resources,Laboratory Technician,9,3,No,104121,3,Yes
EMP0321,58,Female,Sales,Sales Executive,0,3,Yes,146799,3,Yes
EMP0322,28,Female,Human Resources,HR Manager,5,2,Yes,51300,1,Yes
EMP0323,26,Female,Sales,Sales Executive,11,4,Yes,75013,2,No
EMP0324,56,Female,Human Resources,Laboratory Technician,1,5,Yes,72749,5,No
EMP0325,35,Female,Sales,Research Scientist,9,4,No,59296,1,Yes
EMP0326,54,Female,Research & Development,Laboratory Technician,4,3,Yes,108950,4,No
EMP0327,38,Female,Sales,Sales Executive,0,4,Yes,65760,3,Yes
EMP0328,30,Female,Sales,HR Manager,3,1,No,117970,5,Yes
EMP0329,44,Male,Research & Development,Sales Executive,6,5,No,87036,4,Yes
EMP0330,26,Male,Human Resources,Sales Executive,10,3,Yes,112349,3,Yes
EMP0331,37,Male,Human Resources,Laboratory Technician,11,2,No,113422,5,No
EMP0332,45,Male,Sales,Sales Representative,6,3,Yes,31183,5,Yes
EMP0333,40,Male,Research & Development,Sales Representative,12,3,Yes,130138,5,Yes
EMP0334,32,Male,Human Resources,Research Scientist,1,4,Yes,88240,2,Yes
EMP0335,50,Male,Research & Development,Sales Representative,4,4,Yes,126753,1,No
EMP0336,56,Male,Research & Development,Sales Representative,12,5,No,69041,1,No
EMP0337,41,Female,Human Resources,Sales Executive,2,2,No,146207,2,No
EMP0338,55,Female,Sales,Sales Executive,2,1,Yes,47891,2,No
EMP0339,22,Female,Research & Development,Laboratory Technician,7,3,Yes,105934,4,Yes
EMP0340,57,Female,Research & Development,Sales Executive,13,5,No,142938,4,Yes
EMP0341,41,Male,Sales,Sales Executive,3,2,No,109669,2,Yes
EMP0342,28,Female,Sales,Research Scientist,1,5,No,32945,1,No
EMP0343,30,Male,Human Resources,Sales Representative,15,3,No,88333,4,Yes
EMP0344,38,Female,Sales,Sales Executive,14,5,Yes,65142,4,Yes
EMP0345,29,Female,Human Resources,Sales Representative,10,2,No,112234,3,No
EMP0346,28,Female,Human Resources,Sales Executive,8,5,No,92282,5,Yes
EMP0347,57,Female,Research & Development,Sales Representative,6,2,No,48706,3,No
EMP0348,31,Male,Sales,Sales Representative,9,2,Yes,130248,3,Yes
EMP0349,39,Male,Sales,Sales Executive,7,4,Yes,110916,2,No
EMP0350,40,Male,Research & Development,Laboratory Technician,10,1,No,84002,1,Yes
EMP0351,60,Female,Research & Development,HR Manager,7,4,No,85450,1,Yes
EMP0352,35,Male,Sales,Sales Executive,11,1,Yes,107367,4,No
EMP0353,43,Male,Human Resources,Research Scientist,7,5,Yes,69913,2,Yes
EMP0354,35,Female,Sales,Research Scientist,14,5,No,38248,5,Yes
EMP0355,38,Male,Sales,HR Manager,10,1,No,130200,3,No
EMP0356,54,Male,Research & Development,Sales Representative,3,5,No,87392,1,No
EMP0357,53,Male,Human Resources,HR Manager,7,1,No,105247,5,Yes
EMP0358,38,Female,Research & Development,Sales Representative,14,5,Yes,111098,2,Yes
EMP0359,25,Female,Sales,HR Manager,13,1,Yes,81951,4,No
