Date,Invoice ID,Store City,Product Category,Product Name,Quantity Sold,Unit Price,Discount %,Revenue,Profit
2025-08-27,INV09866,Ahmedabad,Fashion,Dress,2,2805.98,17.15,4649.51,492.83
2023-11-16,INV82213,Hyderabad,Grocery,Wheat,4,2155.91,15.23,7310.26,719.93
2024-12-23,INV22791,Pune,Grocery,Wheat,14,1478.72,17.44,17091.64,1382.24
2024-02-07,INV11781,Hyderabad,Grocery,Sugar,3,306.53,10.1,826.71,63.56
2025-01-01,INV15448,Pune,Fashion,Shoes,2,1645.65,24.3,2491.51,251.46
2024-09-21,INV83040,Chennai,Grocery,Rice,9,2998.41,14.15,23167.21,3066.6
2025-10-21,INV86061,Kolkata,Electronics,Laptop,5,4161.57,28.95,14783.98,1106.72
2025-02-13,INV84529,Ahmedabad,Electronics,Laptop,2,947.1,1.99,1856.51,368.01
2024-12-15,INV74178,Kolkata,Home Appliances,Washing Machine,8,4148.31,22.52,25712.88,5397.32
2025-08-24,INV62049,Bangalore,Grocery,Spices,5,1216.67,19.01,4926.91,1140.94
2025-07-16,INV13881,Mumbai,Grocery,Wheat,18,4092.17,13.17,63958.16,8019.64
2024-09-04,INV93634,Bangalore,Grocery,Rice,15,2908.56,10.66,38977.61,5000.69
2025-10-17,INV34321,Delhi,Fashion,Jacket,8,1183.68,16.29,7926.87,1080.48
2025-06-01,INV83327,Bangalore,Electronics,Headphones,8,3483.9,5.0,26477.64,5976.69
2025-07-28,INV35390,Mumbai,Home Appliances,Refrigerator,4,4988.58,22.57,15450.63,2957.19
2024-05-23,INV26563,Bangalore,Electronics,Laptop,4,2870.95,22.87,8857.45,1996.05
2024-01-22,INV59090,Mumbai,Fashion,Jacket,15,4239.94,3.82,61169.61,7918.86
2024-04-10,INV53943,Chennai,Home Appliances,Washing Machine,15,2074.33,23.16,23908.73,1253.79
2024-04-02,INV35357,Bangalore,Electronics,Camera,4,3595.09,17.97,11796.21,2540.43
2024-03-28,INV46243,Kolkata,Fashion,Jeans,14,3094.0,27.36,31464.74,2448.69
2025-02-06,INV05980,Delhi,Grocery,Rice,15,3644.17,17.79,44938.08,3165.55
2024-08-30,INV61529,Ahmedabad,Home Appliances,Washing Machine,5,3550.83,4.58,16941.01,2799.63
2023-12-28,INV72539,Delhi,Grocery,Sugar,14,4675.12,27.77,47275.75,6626.54
2023-11-30,INV72686,Kolkata,Grocery,Spices,14,972.29,25.12,10192.71,1186.73
2024-11-04,INV70159,Kolkata,Electronics,Headphones,8,3059.08,11.38,21687.65,4312.59
2024-04-20,INV62071,Delhi,Home Appliances,Mixer,9,615.62,12.44,4851.33,1080.41
2023-12-30,INV41959,Kolkata,Fashion,Jeans,2,4596.35,17.61,7573.87,428.45
2024-06-09,INV70388,Bangalore,Electronics,Laptop,7,869.29,1.02,6022.96,676.35
2025-09-10,INV56023,Chennai,Electronics,Headphones,18,3334.51,5.34,56816.05,13761.65
2024-01-03,INV89400,Mumbai,Home Appliances,AC,8,2535.87,17.86,16663.71,1056.73
2025-07-07,INV53607,Pune,Electronics,Headphones,19,1779.47,14.05,29059.63,5085.3
2024-04-24,INV30237,Chennai,Fashion,Dress,18,1505.52,21.42,21294.68,3311.95
2025-07-29,INV46628,Kolkata,Home Appliances,Mixer,18,2510.21,22.96,34809.58,2457.43
2025-02-26,INV43872,Ahmedabad,Grocery,Sugar,10,1390.19,19.32,11216.05,1477.68
2023-12-24,INV43853,Pune,Electronics,Camera,18,4341.62,12.24,68583.7,10997.02
2023-12-07,INV36280,Bangalore,Home Appliances,Refrigerator,8,565.34,24.0,3437.27,294.6
2024-12-14,INV70355,Mumbai,Home Appliances,Microwave,3,1253.7,21.67,2946.07,651.49
2023-11-18,INV39663,Bangalore,Home Appliances,AC,5,748.36,12.19,3285.67,377.19
2025-05-10,INV21946,Delhi,Electronics,Mobile,7,3692.73,25.44,19273.1,1436.91
2025-07-11,INV25073,Bangalore,Home Appliances,Washing Machine,18,4468.72,24.52,60713.82,7186.3
2024-10-13,INV02897,Delhi,Electronics,Mobile,3,2971.96,8.04,8199.04,1433.44
2024-07-26,INV77797,Kolkata,Home Appliances,Mixer,2,4312.29,6.59,8056.22,1973.04
2024-03-04,INV21927,Hyderabad,Home Appliances,Mixer,10,2850.59,29.56,20079.56,2895.74
2025-09-29,INV99840,Ahmedabad,Grocery,Wheat,19,2586.67,22.25,38211.58,7251.38
2023-11-19,INV61373,Mumbai,Electronics,Laptop,11,2137.43,3.97,22578.31,5195.6
2024-07-25,INV76532,Delhi,Electronics,Smartwatch,11,4121.79,15.89,38135.21,8123.21
2024-12-16,INV84946,Mumbai,Fashion,Jeans,17,2055.98,14.92,29736.87,5770.16
2024-01-08,INV30906,Chennai,Fashion,Jacket,6,3674.31,7.52,20388.01,3600.92
2024-08-25,INV15199,Chennai,Electronics,Mobile,13,4198.63,12.13,47961.37,9792.86
2025-07-29,INV66631,Kolkata,Home Appliances,Microwave,11,962.64,2.71,10302.08,2103.66
2024-01-08,INV60970,Chennai,Grocery,Sugar,8,2214.11,27.47,12847.15,2496.29
2024-03-27,INV94582,Ahmedabad,Electronics,Mobile,15,4772.73,4.05,68691.52,10080.55
2024-01-27,INV54084,Delhi,Home Appliances,AC,19,2995.64,1.54,56040.64,8365.37
2024-01-14,INV45008,Chennai,Electronics,Mobile,9,3866.02,3.2,33680.77,2190.18
2025-05-25,INV19136,Mumbai,Grocery,Rice,11,3011.52,13.79,28558.55,1861.64
2024-07-02,INV16806,Delhi,Grocery,Milk,12,4840.11,0.16,57988.39,4095.07
2025-09-06,INV88042,Chennai,Home Appliances,Refrigerator,17,727.25,28.51,8838.49,1230.33
2023-11-17,INV63973,Pune,Home Appliances,Refrigerator,8,3212.8,22.77,19849.96,3867.18
2025-03-16,INV62570,Ahmedabad,Fashion,T-Shirt,18,2472.65,6.64,41552.39,10285.61
2024-12-24,INV72733,Chennai,Fashion,Jeans,16,4629.98,5.42,70064.56,11461.79
2024-02-14,INV30196,Delhi,Electronics,Smartwatch,7,1521.88,27.73,7699.04,1880.2
2025-09-16,INV80002,Pune,Grocery,Wheat,7,2302.96,15.67,13594.6,2432.2
2025-09-11,INV93876,Kolkata,Electronics,Headphones,12,646.81,2.31,7582.42,1435.03
2024-04-14,INV70016,Ahmedabad,Fashion,Shoes,7,1610.69,16.18,9450.56,1967.08
2025-06-20,INV81622,Mumbai,Grocery,Wheat,1,4435.59,18.48,3615.89,349.27
2025-01-30,INV70930,Pune,Electronics,Mobile,2,155.28,26.24,229.07,35.69
2024-03-10,INV35765,Ahmedabad,Home Appliances,Refrigerator,7,96.95,1.58,667.93,45.22
2025-04-11,INV30076,Kolkata,Grocery,Milk,16,4374.7,29.52,49332.62,10046.82
2024-05-15,INV44856,Mumbai,Electronics,Camera,5,3674.75,0.1,18355.38,2633.3
2025-01-01,INV74154,Ahmedabad,Fashion,Jeans,4,3591.99,17.67,11829.14,1247.42
2025-09-12,INV25532,Chennai,Fashion,T-Shirt,15,1952.42,20.39,23314.82,2183.45
2025-09-22,INV31119,Delhi,Grocery,Spices,5,492.58,12.53,2154.3,486.49
2024-11-04,INV59397,Kolkata,Home Appliances,Refrigerator,13,4946.47,22.3,49964.29,3147.61
2025-07-20,INV96171,Ahmedabad,Home Appliances,Washing Machine,19,2587.81,6.92,45765.94,3904.09
2023-11-08,INV08727,Delhi,Grocery,Rice,3,4139.72,24.02,9436.08,1660.33
2025-10-14,INV11907,Pune,Grocery,Rice,3,3006.51,15.75,7598.95,775.45
2024-06-10,INV11976,Bangalore,Fashion,Jeans,17,811.78,24.47,10423.34,989.05
2024-07-08,INV24541,Ahmedabad,Grocery,Rice,9,4479.86,25.8,29916.51,4232.78
2025-07-08,INV97710,Ahmedabad,Electronics,Headphones,9,269.66,25.57,1806.37,103.12
2024-10-25,INV89043,Pune,Home Appliances,Mixer,5,3689.3,8.44,16889.62,1697.91
2025-03-04,INV90750,Kolkata,Home Appliances,Refrigerator,5,291.48,15.98,1224.51,296.85
2025-04-26,INV32819,Ahmedabad,Grocery,Milk,5,4957.8,1.85,24330.4,5512.81
2024-01-31,INV35679,Kolkata,Grocery,Sugar,3,1771.66,20.34,4233.91,690.75
2024-12-29,INV92516,Chennai,Grocery,Sugar,16,3309.34,25.52,39436.74,8812.49
2024-08-06,INV21217,Mumbai,Grocery,Sugar,13,3502.48,20.4,36243.66,6296.33
2024-11-25,INV63817,Kolkata,Home Appliances,Washing Machine,11,4808.51,13.96,45509.66,10276.73
2024-09-24,INV40816,Delhi,Fashion,Dress,7,845.76,24.54,4467.47,966.88
2024-08-18,INV05850,Chennai,Home Appliances,Microwave,13,3103.79,29.44,28470.44,5021.12
2025-03-20,INV14420,Pune,Fashion,Shoes,13,3910.23,3.21,49201.25,9948.77
2023-12-03,INV11257,Delhi,Grocery,Wheat,15,4663.54,3.08,67798.54,16098.47
2024-12-11,INV54768,Ahmedabad,Home Appliances,Microwave,4,1539.77,21.25,4850.28,307.85
2024-06-23,INV22784,Delhi,Fashion,T-Shirt,18,4364.11,29.2,55616.22,13557.88
2025-03-19,INV74938,Hyderabad,Electronics,Headphones,12,171.71,0.66,2046.92,234.83
2025-10-02,INV81239,Pune,Home Appliances,Refrigerator,11,3432.31,13.38,32703.74,3424.91
2023-11-06,INV62084,Chennai,Home Appliances,Mixer,3,2284.37,4.91,6516.62,1361.73
2024-05-25,INV70661,Chennai,Electronics,Camera,2,3875.47,6.9,7216.13,550.35
2025-03-15,INV40916,Bangalore,Grocery,Milk,15,2127.65,19.16,25799.88,3341.57
2025-04-16,INV54613,Mumbai,Grocery,Sugar,1,1637.68,21.73,1281.81,255.29
2024-02-05,INV41032,Bangalore,Home Appliances,Mixer,12,2835.61,14.15,29212.45,4634.45
2025-01-23,INV90378,Hyderabad,Fashion,T-Shirt,17,501.26,4.61,8128.58,1144.01
2023-12-17,INV40705,Delhi,Home Appliances,Refrigerator,12,211.0,27.63,1832.41,317.61
2025-05-18,INV97893,Kolkata,Electronics,Laptop,14,3011.72,18.22,34481.78,3431.21
2023-11-18,INV83434,Mumbai,Fashion,T-Shirt,2,3997.92,9.31,7251.43,1022.77
2024-02-06,INV78345,Ahmedabad,Grocery,Wheat,18,2425.7,18.0,35803.33,3878.66
2025-03-12,INV78623,Chennai,Grocery,Rice,6,4543.7,21.73,21338.12,4264.05
2025-03-05,INV47054,Mumbai,Grocery,Milk,14,755.35,14.97,8991.84,1561.26
2025-07-17,INV12225,Hyderabad,Grocery,Wheat,8,98.37,9.79,709.92,109.0
2025-03-11,INV25910,Mumbai,Grocery,Spices,1,4131.34,10.73,3688.05,421.98
2025-02-07,INV07501,Kolkata,Electronics,Mobile,14,3481.31,24.64,36729.21,2138.99
2023-11-15,INV56935,Hyderabad,Grocery,Sugar,3,4486.3,17.84,11057.83,1916.55
2024-04-01,INV04047,Pune,Home Appliances,Mixer,18,4679.25,28.42,60289.33,10554.31
2024-08-15,INV24327,Hyderabad,Fashion,Dress,7,3321.06,16.59,19390.67,3286.62
2024-09-23,INV49819,Kolkata,Fashion,Dress,9,861.8,13.16,6735.48,1313.18
2024-06-26,INV34653,Hyderabad,Electronics,Camera,13,2422.43,18.47,25675.09,2973.26
2025-09-01,INV24080,Kolkata,Home Appliances,Washing Machine,8,4365.57,13.01,30380.87,1784.34
2024-10-18,INV69541,Hyderabad,Fashion,Jeans,19,1180.85,29.89,15729.98,3853.19
2023-12-19,INV31954,Bangalore,Home Appliances,Microwave,19,3417.13,2.17,63516.59,3565.22
2024-05-28,INV82717,Mumbai,Electronics,Camera,17,4347.95,21.82,57786.86,11473.08
2024-07-12,INV97846,Hyderabad,Grocery,Milk,12,3850.23,15.15,39203.04,6219.96
2024-07-15,INV26796,Bangalore,Home Appliances,Mixer,4,195.5,11.87,689.18,118.01
2023-12-29,INV85447,Pune,Fashion,Shoes,6,3292.3,29.76,13875.07,1481.45
2025-09-08,INV94080,Chennai,Home Appliances,Refrigerator,13,2355.77,25.08,22944.26,2229.23
2024-03-02,INV38575,Delhi,Home Appliances,AC,16,3029.18,18.98,39267.87,4891.59
2025-08-19,INV58905,Delhi,Electronics,Smartwatch,5,392.21,13.11,1703.96,118.39
2023-11-21,INV37364,Chennai,Electronics,Laptop,2,521.54,19.56,839.05,94.33
2024-05-17,INV13220,Hyderabad,Fashion,Dress,5,94.7,17.65,389.93,66.19
2024-07-12,INV54237,Hyderabad,Grocery,Sugar,10,413.81,5.09,3927.47,604.65
2024-12-08,INV65828,Delhi,Home Appliances,Mixer,1,2274.7,17.64,1873.44,449.09
2023-11-27,INV57377,Mumbai,Home Appliances,AC,11,3695.19,19.91,32554.25,4717.96
2025-02-04,INV49511,Mumbai,Home Appliances,AC,15,4347.94,6.18,61188.56,4429.07
2023-12-07,INV01093,Delhi,Fashion,Jeans,9,2679.29,28.1,17337.69,1003.31
2024-06-13,INV37575,Pune,Electronics,Smartwatch,5,561.38,17.54,2314.57,434.31
2024-09-18,INV35627,Hyderabad,Grocery,Wheat,11,136.03,9.69,1351.34,330.56
2024-02-22,INV85919,Pune,Electronics,Headphones,18,1746.13,15.97,26410.91,1984.74
2024-12-28,INV77535,Kolkata,Grocery,Milk,16,4702.11,21.99,58689.86,4840.53
2024-12-21,INV16051,Chennai,Grocery,Spices,6,4347.3,5.31,24698.75,4656.34
2025-05-26,INV57987,Pune,Electronics,Mobile,11,3432.08,14.92,32120.15,5575.08
2024-07-20,INV01465,Ahmedabad,Electronics,Laptop,12,609.89,23.87,5571.71,1302.31
2025-05-26,INV29642,Mumbai,Electronics,Smartwatch,16,3273.6,3.2,50701.52,9205.83
2024-06-13,INV90276,Delhi,Home Appliances,Mixer,1,2064.19,26.12,1525.02,314.88
2024-05-24,INV36276,Chennai,Electronics,Laptop,11,4398.65,12.12,42520.87,4907.19
2025-08-02,INV25327,Kolkata,Electronics,Mobile,18,4395.56,9.52,71587.85,16019.94
2025-06-26,INV63354,Mumbai,Home Appliances,Mixer,15,3169.53,18.29,38847.34,6319.99
2025-09-17,INV44752,Bangalore,Home Appliances,Washing Machine,1,1225.84,11.2,1088.55,103.91
2024-01-21,INV26677,Delhi,Electronics,Headphones,8,3357.65,18.58,21870.39,3120.88
2024-07-04,INV30300,Bangalore,Grocery,Wheat,8,2619.45,14.38,17942.18,989.12
2024-03-17,INV86929,Delhi,Grocery,Milk,5,2024.17,17.41,8358.81,1310.0
2024-09-24,INV06422,Pune,Electronics,Mobile,12,4779.84,0.55,57042.61,5085.67
2025-06-26,INV35708,Pune,Home Appliances,Washing Machine,15,1255.24,27.81,13592.37,843.45
2023-12-11,INV86240,Chennai,Grocery,Sugar,2,873.34,18.52,1423.19,220.05
2024-08-31,INV95548,Kolkata,Electronics,Smartwatch,15,2684.69,17.43,33251.23,2258.6
2023-12-30,INV66850,Kolkata,Fashion,Jeans,17,4884.79,24.7,62530.2,9660.68
2024-02-05,INV71519,Pune,Electronics,Camera,10,4008.92,5.54,37868.26,4129.75
2024-07-19,INV55949,Mumbai,Fashion,Jacket,10,4592.87,12.74,40077.38,2701.53
2025-02-22,INV31466,Kolkata,Grocery,Milk,13,3184.1,28.54,29579.65,5038.08
2024-05-30,INV21611,Kolkata,Grocery,Milk,9,3979.03,19.4,28863.88,2452.12
2025-10-24,INV99835,Mumbai,Grocery,Wheat,8,3861.23,16.7,25731.24,2602.17
2025-05-26,INV08791,Hyderabad,Fashion,Dress,4,2147.5,20.03,6869.42,474.73
2025-01-06,INV15056,Hyderabad,Fashion,T-Shirt,18,807.27,7.06,13504.98,3023.12
2025-04-15,INV80429,Mumbai,Electronics,Smartwatch,17,933.31,9.37,14379.6,1381.15
2025-08-30,INV10839,Pune,Home Appliances,Refrigerator,10,1321.58,18.96,10710.08,660.71
2024-01-31,INV11634,Mumbai,Fashion,Dress,7,3490.97,12.13,21472.61,2912.54
2025-02-08,INV93000,Pune,Grocery,Rice,11,4956.72,3.85,52424.75,3712.82
2024-10-09,INV04368,Delhi,Fashion,Jeans,7,3874.48,7.95,24965.21,4470.22
2025-10-12,INV47067,Hyderabad,Electronics,Laptop,8,1866.43,10.31,13392.01,2322.59
2025-01-31,INV37652,Chennai,Grocery,Milk,2,3364.53,2.1,6587.75,1172.84
